beta,seed,steps,mean_reward_before,mean_reward_after,reward_improvement_pct,max_kl,mean_kl_final_20,collapse_detected,elapsed_seconds,status
0.05,42,200,3.577518272399902,9.287589836120606,159.6098499848958,43.3218994140625,36.41613235473633,True,6471.064497709274,ok
0.05,123,200,3.3014644384384155,8.273225879669189,150.5926087916047,46.31604766845703,43.495354080200194,True,5340.733720064163,ok
0.05,456,200,3.2216779708862306,10.787007904052734,234.82576402888677,67.20585632324219,42.341880798339844,True,4899.168663740158,ok
0.1,42,200,3.577518272399902,6.499813365936279,81.68498000172391,24.28727912902832,17.922405385971068,True,5364.810839891434,ok
0.1,123,200,3.3014644384384155,5.809604167938232,75.97052061808998,23.60749053955078,18.697708702087404,True,4941.568072795868,ok
0.1,456,200,3.2216779708862306,5.716238307952881,77.43046796937904,24.23196792602539,16.440933084487916,True,4720.655461072922,ok
0.2,42,200,3.577518272399902,5.6479803085327145,57.874254516566346,14.23499870300293,9.598618650436402,False,4940.736098051071,ok
0.2,123,200,3.3014644384384155,4.752745246887207,43.958698665837325,14.621248245239258,9.798887348175048,False,6178.466729879379,ok
0.2,456,200,3.2216779708862306,5.456811141967774,69.37791996413914,14.618681907653809,9.331270360946656,False,5707.894487142563,ok
0.5,42,200,3.577518272399902,4.476203155517578,25.120343550412617,7.5122785568237305,4.767521607875824,False,5794.799123764038,ok
0.5,123,200,3.3014644384384155,4.241932964324951,28.486404762934058,8.112998962402344,4.519541931152344,False,5923.806776046753,ok
0.5,456,200,3.2216779708862306,3.9058427810668945,21.236287867369708,7.469980716705322,4.273736453056335,False,6206.380645990372,ok
